WE Potential	col1	col2	col3	col4	col5	col6	col7	col8	col9	col10	Index
-0.212554931640625	-4.752471923828125e-05	-0.00036591461181640625	-0.0004984524536132813	-0.0006000759887695311	-0.0006696560668945314	-0.0007166531372070313	-0.0007627346801757812	-0.0008030178833007812	-0.0008445217895507813	-0.0008835842895507812	80
-0.214996337890625	-4.728057861328125e-05	-0.0003664788818359375	-0.0004996575927734375	-0.0006009759521484375	-0.0006714715576171874	-0.0007199945068359374	-0.0007654656982421875	-0.0008048333740234374	-0.0008466424560546875	-0.0008875360107421875	81
-0.217437744140625	-4.704498291015625e-05	-0.00036702239990234377	-0.0005002621459960937	-0.0006021908569335937	-0.0006723812866210936	-0.0007227352905273437	-0.0007663754272460935	-0.0008078793334960938	-0.0008499935913085937	-0.0008899716186523438	82
-0.219879150390625	-4.682434082031249e-05	-0.00036756683349609376	-0.0005014779663085938	-0.0006034066772460939	-0.0006748178100585937	-0.0007242562866210938	-0.0007675912475585937	-0.0008103158569335939	-0.0008530404663085937	-0.0008917977905273437	83
-0.222320556640625	-4.6612548828125e-05	-0.00036807220458984376	-0.0005023800659179689	-0.0006049191284179687	-0.0006748043823242188	-0.0007254635620117187	-0.0007715451049804687	-0.0008130490112304686	-0.0008542477416992189	-0.0008948361206054685	84
-0.224761962890625	-4.6379089355468734e-05	-0.00036857086181640625	-0.0005032754516601563	-0.0006067300415039063	-0.0006778359985351563	-0.0007269692993164062	-0.0007739663696289062	-0.0008139443969726564	-0.0008588052368164065	-0.0008996987915039062	85
-0.227203369140625	-4.6183776855468736e-05	-0.00036908599853515615	-0.0005041873168945311	-0.0006088626098632811	-0.0006784426879882814	-0.0007281863403320311	-0.0007748782348632813	-0.0008160769653320313	-0.0008606326293945311	-0.0009006106567382812	86
-0.229644775390625	-4.59918212890625e-05	-0.0003695657348632812	-0.0005050942993164065	-0.0006094644165039063	-0.0006799600219726563	-0.0007300088500976563	-0.0007770059204101562	-0.0008197305297851561	-0.0008633706665039062	-0.0009015176391601562	87
-0.232086181640625	-4.5810546875e-05	-0.0003700112915039063	-0.0005059976196289063	-0.0006097573852539063	-0.0006811685180664062	-0.0007330484008789063	-0.0007788247680664063	-0.0008209390258789062	-0.0008648843383789061	-0.0009057778930664061	88
-0.23452758789062494	-4.56103515625e-05	-0.0003704574584960938	-0.0005069015502929687	-0.0006100509643554689	-0.0006845138549804688	-0.0007336471557617183	-0.0007809494018554689	-0.0008215377807617187	-0.0008679244995117187	-0.000907597351074219	89
-0.236968994140625	-4.542572021484375e-05	-0.0003709075927734375	-0.0005075042724609376	-0.0006109588623046875	-0.0006854217529296875	-0.0007345550537109374	-0.0007824676513671875	-0.0008239715576171877	-0.0008688323974609376	-0.0009103363037109377	90
